"id","owner","gate","points","due_date","depends_on","title","milestones","paths","acceptance","reviewer","status","evidence"
"FE01","Member 1","G0","5","2026-09-12","","Agree first screens, design direction and shared UI kit","M00;M14;M17","docs/product;docs/design;apps/web/src/components","Record approval status, pilot city, three workflow sketches and the shared UI primitives both frontend members build on","Member 2","review","docs/design/frontend-plan.md; docs/design/desktop-gallery; apps/web/src/app/globals.css; apps/web/src/app/styles; apps/web/src/components/AppNavigation.tsx; 2026-09-15 rebuild to the user's reference images with explicit routes (/home, /my-trip, /inspiration-library, /discover); 2026-09-16 Home reference redesign with generated postcards and watercolor cards; npm run check PASS (91 tests before compact follow-up); 16 isolated browser checks PASS after compact CSS follow-up; desktop fits at 1280x600 with horizontal card titles; deliverables/evidence/home-2026-09-16/README.md; AI trip routing and live Next/font verification pending; approval and pilot city pending; 2026-09-20 My Trip UX v2 design proposal: compact headers, discoverable edit/details, mobile sheet and consistent Google map plan; docs/design/my-trip-ux-v2/README.md; five local boards verified; implementation and Canva authorization pending; 2026-09-20 navigation and trip UI refresh plus user follow-up: restored vertical desktop rail/mobile dock, brighter shortcuts, compact stale-plan warning, regeneration review, 44px reorder controls, bounded public covers and Details redirect; responsive browser suite PASS; deliverables/evidence/navigation-refresh-2026-09-20.md; human acceptance and deployment pending"
"FE02","Member 1","G1","8","2026-09-15","FE01;BE09","Build inbox import and recovery UI","M17","apps/web/src/features/inbox","Save text, links and screenshots; show progress; add details, retry and skip work against the API and fixtures","Member 2","review","2026-09-16: country albums and category/city gallery; search and grid/list; add modal and source/recovery drawer; trip links retained; deterministic country lookup and existing place categories (real AI pending). docs/design/library-country-albums.md; deliverables/evidence/M17-2026-09-16-library.md; npm run check PASS (52 tests); 13 Chromium checks PASS including keyboard and 375px overflow; 13 API smoke checks PASS. User approved concept; human implementation review and exhaustive failureCode coverage pending; deliverables/evidence/itinerary-draft-trips-2026-09-24.md (itinerary reels become draft trips; live check recorded; browser UI, Supabase migration and human review pending); 2026-09-24 account-place Library uses source-backed country albums and image-led place cards, with Unknown country fallback; country-backed ideas retain automatic provider candidates, render on Google Maps and lazily load attributed Google place photos; ambiguous images are labelled possible matches and older eligible records repair on album open; deliverables/evidence/account-place-library-2026-09-24.md; npm run check PASS (661 tests); 2026-09-24 isolated synthetic Library browser PASS; five generated country and neutral covers used by Library and Home; npm run check PASS (808 tests); focused cover browser check PASS; human cover review pending; 2026-09-25: Home detected-places popup (compact while reading, persists until closed or finished) confirms account places, removes unticked ones, Cancel removes all, × keeps all, optional add to trip (deliverables/evidence/home-detected-places-2026-09-25.md)"
"FE03","Member 1","G1","5","2026-09-15","FE01","Build landing page with proposed pricing and sharing metadata","M04;M06;M18","apps/web/src/features/landing;apps/web/src/app","Hero, features, proposed pricing and sharing metadata work; landing CTA event fires","Member 2","in_progress","Public / landing for new visitors (signed-in users keep /home): hero, how it works, feature proofs, shipped-input note, proposed pricing from the proposal marked not for sale, FAQ, tracked CTAs; share image, canonical, robots.txt and sitemap.xml respond 200; typecheck PASS; price check against BE14, SITE_URL on host, final copy and M18 sharing-card evidence pending 2026-09-23: root static marketing page with hero features pricing SEO Open Graph and GitHub Pages guide; local responsive accessibility and interaction checks in deliverables/evidence/landing-page-2026-09-23.md. GitHub publication and live preview evidence pending. 2026-09-24: Routelet logo, current app styling and planned SGD pricing updated on both landing pages; deliverables/evidence/routelet-brand-pricing-2026-09-24.md; deployment pending.; 2026-09-25 saved-reel library includes reel-created trip places; deliverables/evidence/reel-library-2026-09-25.md; offline API and browser checks passed"
"FE04","Member 1","G2","8","2026-09-17","FE02","Build place selection UI with evidence and location detail","M17","apps/web/src/features/places;apps/web/src/components","Every candidate shows available source evidence, clear identity and location uncertainty; traveler can tick places by keyboard or touch without branch confirmation; route and place details remain accessible","Member 2","review","2026-09-20 My Trip provider-photo frames normalized across varied Google aspect ratios; deliverables/evidence/my-trip-image-sizing-2026-09-20.md; npm run check PASS (229 tests); runtime Chromium geometry check PASS; human review pending; 2026-09-20 approved My Trip UX v2 implemented: compact lists and editing, prioritized details, mobile sheet, coordinate Google embeds; 238 repository tests and 14 isolated/native Next browser groups PASS plus 16 overview checks; full API smoke stopped at import processing. deliverables/evidence/my-trip-ux-v2-2026-09-20.md; human runtime acceptance and live Google verification pending; 2026-09-20 main merge resolved with My Trip UX preserved and incoming unverified-place, unknown-travel and stale-share safeguards integrated; check PASS (340 tests), 17 isolated browser groups PASS; deliverables/evidence/my-trip-merge-2026-09-20.md; 2026-09-21 F8 Phase 1 picker reuses confirmed places across trips with evidence deep links and responsive browser acceptance; deliverables/evidence/f8-saved-places-phase1-2026-09-21.md; human review pending; 2026-09-23: tick-to-plan selection and automatic provider route matching implemented; synthetic service/browser checks and remaining limits in deliverables/evidence/tick-to-plan-2026-09-23.md; hosted provider quality and human review pending; 2026-09-23: create-trip redesign (1D questions; P-B pick table with add panel; S-A hotel nights; D-A travel style) implemented; typecheck, 609 tests and 13 new/updated offline browser checks PASS; deliverables/evidence/create-trip-redesign-2026-09-23.md; live-server and human review pending; 20-day limit not applied; 2026-09-23 date and selection fixes: deliverables/evidence/trip-date-and-selection-fixes-2026-09-23.md; 616 tests and offline browser checks PASS; hosted and human review pending; 2026-09-23 deletion options: deliverables/evidence/delete-saved-data-2026-09-23.md; synthetic service and offline Edge checks PASS; hosted and human review pending; 2026-09-24: same-country account reel places now appear in the trip Saved ideas picker and copy with provider candidates plus durable source evidence; owner isolation, idempotency, 7 Edge browser checks and npm run check PASS (663 tests); hosted Supabase and human review pending"
"FE05","Member 1","G2","5","2026-09-18","FE01;BE10","Build sign-in, trip list and trip setup screens","M04","apps/web/src/features/auth;apps/web/src/features/trips","Sign-in uses the real auth flow; preferences and bookings save, survive reload and show validation errors","Member 2","in_progress","/my-trip list with filters, /my-trip/new and Trip details layout rebuilt; forms API-backed; sign-in not restyled; real auth blocked on BE10; 2026-09-20 oversized destination cover fixed and measured at desktop/mobile sizes (deliverables/evidence/my-trip-cover-sizing-2026-09-20.md); human browser review pending; 2026-09-20 My Trips overview polish: typography, current-day hierarchy, planning filters, reduced motion, loading and retry; 16 isolated Chromium checks PASS; deliverables/evidence/my-trip-polish-2026-09-20.md; human visual acceptance pending; 2026-09-20 My Trip UX v2 design proposal: compact headers, discoverable edit/details, mobile sheet and consistent Google map plan; docs/design/my-trip-ux-v2/README.md; five local boards verified; implementation and Canva authorization pending; 2026-09-20 approved My Trip UX v2 implemented: compact lists and editing, prioritized details, mobile sheet, coordinate Google embeds; 238 repository tests and 14 isolated/native Next browser groups PASS plus 16 overview checks; full API smoke stopped at import processing. deliverables/evidence/my-trip-ux-v2-2026-09-20.md; human runtime acceptance and live Google verification pending; 2026-09-21 My Trips tutorial reverted at user request; overview has no guide; earlier cover and navigation work preserved; Home onboarding remains proposed; deliverables/evidence/my-trip-onboarding-2026-09-21.md; 2026-09-21 successful password and development sign-in now always opens /home; browser acceptance PASS; deliverables/evidence/sign-in-home-redirect-2026-09-21.md; 2026-09-23: create-trip redesign (1D questions; P-B pick table with add panel; S-A hotel nights; D-A travel style) implemented; typecheck, 609 tests and 13 new/updated offline browser checks PASS; deliverables/evidence/create-trip-redesign-2026-09-23.md; live-server and human review pending; 20-day limit not applied; 2026-09-23 date and selection fixes: deliverables/evidence/trip-date-and-selection-fixes-2026-09-23.md; 616 tests and offline browser checks PASS; hosted and human review pending; 2026-09-23 deletion options: deliverables/evidence/delete-saved-data-2026-09-23.md; synthetic service and offline Edge checks PASS; hosted and human review pending; 2026-09-24 setup page and Details tab replaced by the Trip settings dialog from the header gear (?settings=), old links redirect; deliverables/evidence/trip-settings-and-day-editing-2026-09-24.md; offline settings dialog checks PASS; human review pending; 2026-09-25 in-row hotel search on the stay step and Trip settings (design 1A) and hotel route bookends on the owner map (design 2A); deliverables/evidence/stay-place-mapping-2026-09-25.md; synthetic in-app browser checks PASS; human review pending"
"FE06","Member 1","G3","3","2026-09-21","FE04;FE05;BE11","Observe pilot capture and review; fix the largest blocker","M04;M17","apps/web;deliverables/evidence","Record task completion for saving and selecting places; fix and verify the largest blocker","Member 2","todo",""
"FE07","Member 1","G4","3","2026-09-22","FE03","Prepare brand rationale and launch kit","M14;M18","docs/design;deliverables/launch","Logo, name alternatives, screenshots, copy and demo draft reviewed","Member 2","in_progress","2026-09-23: user supplied and selected Routelet name and logo; header logo/name, metadata and icon updated. Screenshot and human recognizability review pending; deliverables/evidence/routelet-account-reels-2026-09-23.md"
"FE08","Member 1","G4","3","2026-09-23","FE06;FE07","Finish owned evidence and answers","M04;M06;M14;M17;M18","deliverables/milestones;deliverables/evidence","Five answers cite actual product state and sources","Member 2","todo",""
"FE09","Member 2","G1","8","2026-09-15","FE01;BE09","Build itinerary timeline with edit controls and conflicts","M02;M16","apps/web/src/features/itinerary","Generate, move, remove and add stops; bookings have no edit controls; rejected and stale edits are explained","Member 1","review","/my-trip/:id/timeline keeps move, remove, add, locked bookings, STALE_VERSION reload and EDIT_REJECTED conflicts; route check PASS; 2026-09-20 My Trip UX v2 design proposal: compact headers, discoverable edit/details, mobile sheet and consistent Google map plan; docs/design/my-trip-ux-v2/README.md; five local boards verified; implementation and Canva authorization pending; 2026-09-20 approved My Trip UX v2 implemented: compact lists and editing, prioritized details, mobile sheet, coordinate Google embeds; 238 repository tests and 14 isolated/native Next browser groups PASS plus 16 overview checks; full API smoke stopped at import processing. deliverables/evidence/my-trip-ux-v2-2026-09-20.md; human runtime acceptance and live Google verification pending; 2026-09-20 main merge resolved with My Trip UX preserved and incoming unverified-place, unknown-travel and stale-share safeguards integrated; check PASS (340 tests), 17 isolated browser groups PASS; deliverables/evidence/my-trip-merge-2026-09-20.md; 2026-09-20 navigation refresh follow-up: stale-plan warning is a compact six-second overlay and Review & regenerate remains beside Edit day; responsive browser suite PASS; deliverables/evidence/navigation-refresh-2026-09-20.md; 2026-09-22 replace_stop and server-validated dryRun preview implemented; preview is not saved until explicit Apply; offline Edge browser suite and full check PASS; deliverables/evidence/production-readiness-refinements-2026-09-22.md; independent human acceptance and deployment pending; 2026-09-24 day editing: drag to reorder and move between days, stop editor (length/earliest start, rename, branch, swap, note), place picker with trip, saved, library and search sources; deliverables/evidence/trip-settings-and-day-editing-2026-09-24.md; npm run check and offline browser suite PASS; live Google search and human review pending"
"FE10","Member 2","G2","8","2026-09-17","FE09","Build map and magazine views from one itinerary version","M16;M20","apps/web/src/features/itinerary;apps/web/src/features/magazine","Timeline, map and magazine show the same version and stop order after every edit","Member 1","review","/my-trip/:id/itinerary (magazine) and /map render the same itinerary object with ?day sync, numbered pins and map preview; route checks PASS; 2026-09-20 varied provider photos render in fixed itinerary frames (deliverables/evidence/my-trip-image-sizing-2026-09-20.md); browser check after an edit pending; 2026-09-20 My Trip UX v2 design proposal: compact headers, discoverable edit/details, mobile sheet and consistent Google map plan; docs/design/my-trip-ux-v2/README.md; five local boards verified; implementation and Canva authorization pending; 2026-09-20 approved My Trip UX v2 implemented: compact lists and editing, prioritized details, mobile sheet, coordinate Google embeds; 238 repository tests and 14 isolated/native Next browser groups PASS plus 16 overview checks; full API smoke stopped at import processing. deliverables/evidence/my-trip-ux-v2-2026-09-20.md; human runtime acceptance and live Google verification pending; 2026-09-20 main merge resolved with My Trip UX preserved and incoming unverified-place, unknown-travel and stale-share safeguards integrated; check PASS (340 tests), 17 isolated browser groups PASS; deliverables/evidence/my-trip-merge-2026-09-20.md"
